,Date,Total
1170,03/29/2012,381
1171,03/30/2012,414
1172,03/31/2012,186
1173,04/01/2012,151
1174,04/02/2012,520
1175,04/03/2012,368
1176,04/04/2012,368
1177,04/05/2012,359
1178,04/06/2012,382
1179,04/07/2012,180
1180,04/09/2012,537
1181,04/10/2012,389
1182,04/11/2012,385
1183,04/12/2012,421
1184,04/13/2012,374
1185,04/14/2012,151
1186,04/15/2012,132
1187,04/16/2012,589
1188,04/17/2012,380
1189,04/18/2012,371
1190,04/19/2012,384
1191,04/20/2012,412
1192,04/21/2012,173
1193,04/22/2012,152
1194,04/23/2012,514
1195,04/24/2012,395
1196,04/25/2012,373
1197,04/26/2012,373
1198,04/27/2012,357
1199,04/28/2012,205
1200,04/29/2012,129
1201,04/30/2012,483
1202,05/01/2012,452
1203,05/02/2012,435
1204,05/03/2012,401
1205,05/04/2012,392
1206,05/05/2012,155
1207,05/06/2012,152
1208,05/07/2012,488
1209,05/08/2012,368
1210,05/09/2012,368
1211,05/10/2012,359
1212,05/11/2012,338
1213,05/12/2012,142
1214,05/13/2012,109
1215,05/14/2012,534
1216,05/15/2012,356
1217,05/16/2012,365
1218,05/17/2012,339
1219,05/18/2012,396
1220,05/19/2012,143
1221,05/20/2012,145
1222,05/21/2012,483
1223,05/22/2012,368
1224,05/23/2012,362
1225,05/24/2012,367
1226,05/25/2012,391
1227,05/26/2012,178
1228,05/27/2012,144
1229,05/28/2012,92
1230,05/29/2012,537
1231,05/30/2012,444
1232,05/31/2012,372
1233,06/01/2012,352
1234,06/02/2012,156
1235,06/03/2012,181
1236,06/04/2012,474
1237,06/05/2012,346
1238,06/06/2012,331
1239,06/07/2012,375
1240,06/08/2012,387
1241,06/09/2012,138
1242,06/10/2012,112
1243,06/11/2012,501
1244,06/12/2012,372
